"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6759",5,4,2012,4,1,1,1,99,1,877,1,9999,NA,101,1,6,NA,1,1,36,1,2,NA,NA,6
"6760",5,4,2012,4,1,5,2,4,1,886,99,9999,NA,501,1,6,NA,1,1,23,1,9,NA,NA,3
"6761",5,4,2012,4,2,1,1,3,2,879,9,9999,NA,101,1,6,NA,1,1,33,1,9,NA,NA,5
"6762",5,4,2012,4,3,1,3,5,1,880,6,9999,NA,101,1,6,NA,1,1,999,1,9,NA,NA,16
"6763",5,4,2012,4,3,21,4,5,1,884,99,9999,NA,2101,1,6,NA,1,1,21,1,9,NA,NA,3
"6764",5,4,2012,4,5,1,1,5,2,882,99,9999,NA,115,1,6,NA,2,1,30,1,2,NA,NA,5
"6765",5,4,2012,4,5,20,3,3,2,885,99,9999,NA,2010,1,6,NA,1,1,28,1,9,NA,NA,4
"6766",5,4,2012,4,6,1,1,2,2,881,99,9999,NA,103,2,6,NA,1,1,23,1,2,NA,NA,3
"6767",5,4,2012,4,8,1,3,5,1,878,1,9999,NA,101,2,6,NA,1,1,26,1,9,NA,NA,4
"6768",5,4,2012,4,10,11,1,2,1,887,99,9999,NA,1101,2,6,NA,1,1,23,1,9,NA,NA,3
"6769",5,4,2012,4,12,16,3,7,2,890,99,9999,NA,1603,3,6,NA,2,1,19,1,9,NA,NA,2
"6770",5,4,2012,4,16,14,3,3,1,888,99,9999,NA,1401,3,6,NA,2,1,37,1,9,NA,NA,6
"6771",5,4,2012,4,17,8,3,4,2,889,99,9999,NA,801,3,6,NA,2,1,20,1,9,NA,NA,3
"6772",5,4,2013,5,0,20,99,99,5,4487,99,9999,99,2001,1,6,NA,2,1,999,1,9,NA,NA,16
"6773",5,4,2013,5,5,1,4,99,1,1024,17,9999,21,101,1,6,NA,2,1,39,1,9,NA,NA,6
"6774",5,4,2013,5,10,1,12,6,1,1027,12,9999,99,101,2,6,NA,1,1,44,1,1,NA,NA,7
"6775",5,4,2013,5,11,1,5,2,1,1026,99,9999,99,102,2,6,NA,2,1,35,1,9,NA,NA,6
"6776",5,4,2013,5,12,17,2,99,5,4490,99,9999,44,1701,3,6,NA,2,1,999,1,9,NA,NA,16
"6777",5,4,2013,5,16,12,1,99,3,1030,12,9999,99,1201,3,6,NA,1,1,24,1,9,NA,NA,3
"6778",5,4,2013,5,17,1,3,2,1,1025,17,1983,44,101,3,2,NA,1,2,20,1,1,NA,NA,3
"6779",5,4,2013,5,17,3,4,5,3,1031,99,9999,2,301,3,6,NA,2,1,45,1,9,NA,NA,8
"6780",5,4,2013,5,19,3,99,99,5,4491,99,9999,99,306,4,6,NA,2,1,999,1,9,NA,NA,16
"6781",5,4,2013,5,19,5,5,2,5,4489,99,2001,23,501,4,4,NA,2,1,59,1,1,NA,NA,10
"6782",5,4,2013,5,19,11,5,2,1,1029,99,1993,32,1101,4,3,NA,2,1,27,1,9,NA,NA,4
"6783",5,4,2013,5,19,22,2,2,5,4486,99,9999,23,2201,4,6,NA,2,1,999,1,9,NA,NA,16
"6784",5,4,2013,5,20,5,4,5,2,1028,99,9999,99,501,4,6,NA,2,1,21,1,9,NA,NA,3
"6785",5,4,2013,5,21,19,99,99,5,4488,99,9999,99,1901,4,6,NA,2,1,999,1,9,NA,NA,16
"6786",5,4,2014,6,0,1,3,99,1,737,99,2002,13,115,1,4,NA,2,1,27,1,2,737,NA,4
"6787",5,4,2014,6,0,9,1,2,1,748,99,9999,17,901,1,6,NA,2,1,19,1,1,748,NA,2
"6788",5,4,2014,6,3,1,1,11,1,734,1,1995,34,101,1,3,NA,1,1,27,1,9,734,NA,4
"6789",5,4,2014,6,5,16,4,1,3,750,99,9999,40,1604,1,6,NA,2,1,24,1,1,750,NA,3
"6790",5,4,2014,6,14,9,1,2,2,749,99,1986,44,919,3,2,NA,2,1,41,1,1,749,NA,7
"6791",5,4,2014,6,14,10,1,2,1,745,99,9999,32,1010,3,6,NA,2,1,27,1,2,745,NA,4
"6792",5,4,2014,6,14,11,5,2,1,746,99,1998,18,1101,3,3,NA,2,1,58,1,1,746,NA,10
"6793",5,4,2014,6,15,1,1,2,1,738,8,2003,30,108,3,4,NA,1,1,26,1,1,738,NA,4
"6794",5,4,2014,6,17,22,14,1,5,3919,99,9999,2,2208,3,6,NA,2,1,21,1,1,544,NA,3
"6795",5,4,2014,6,18,6,3,2,1,744,99,2007,34,608,4,4,NA,2,1,38,1,1,744,NA,6
"6796",5,4,2014,6,19,5,7,11,3,742,99,1997,22,501,4,3,NA,2,1,999,9,1,742,NA,16
"6797",5,4,2014,6,20,4,1,3,2,751,99,2001,32,415,4,4,NA,2,1,37,1,1,751,NA,6
